# These data are freely available under the Creative Commons Attribution International (CC BY 4.0) Licence.
# When using the data please cite:
# Geiger, T.; Frieler, K.; Bresch, D.N. (2017) A global data set of tropical cyclone exposure (TCE-DAT). GFZ Data Services, http://doi.org/10.5880/pik.2017.005
# 
# Generated using the climada module ISIMIP v1.0, available under: https://github.com/davidnbresch/climada_module_isimip/releases/tag/v1.0
# 
year,IBTrACS_ID,TC_name,NatCatSERVICE_ID,genesis_basin,countries_affected,ISO3,v_land_SI,v_land_kn,34kn_pop,34kn_assets,64kn_pop,64kn_assets,96kn_pop,96kn_assets
1951,1951224N12316,CHARLIE,,NA,multi,MSR,23.0,44.8,13379.0,0.0,0.0,0.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,MTQ,40.2,78.1,227973.0,0.0,186931.0,0.0,0.0,0.0
1951,1951224N12316,CHARLIE,,NA,multi,VCT,18.6,36.2,1720.0,3891746.0,0.0,0.0,0.0,0.0
1951,1951237N16259,UNNAMED,,EP,single,MEX,29.6,57.5,261556.0,1273328249.0,0.0,0.0,0.0,0.0
1951,1951239N11144,NORA,,WP,multi,CHN,61.4,119.4,5895558.0,7303402409.0,3592801.0,4213627267.0,1273274.0,1593940025.0
1951,1951239N11144,NORA,,WP,multi,LAO,22.3,43.4,18467.0,40691389.0,0.0,0.0,0.0,0.0
1951,1951239N11144,NORA,,WP,multi,PHL,53.3,103.6,2051260.0,3973633044.0,1242501.0,1761824925.0,6257.0,19232180.0
1951,1951239N11144,NORA,,WP,multi,VNM,41.6,80.8,10525953.0,8914303974.0,614239.0,457769763.0,0.0,0.0
1951,1951239N12334,DOG,,NA,multi,BRB,31.8,61.8,212060.0,1045872795.0,0.0,0.0,0.0,0.0
1951,1951239N12334,DOG,,NA,multi,DMA,33.4,64.8,51565.0,179029949.0,0.0,0.0,0.0,0.0
1951,1951239N12334,DOG,,NA,multi,GLP,21.7,42.1,25174.0,2565980.0,0.0,0.0,0.0,0.0
1951,1951239N12334,DOG,,NA,multi,LCA,46.2,89.9,5182.0,12155858.0,5182.0,12155858.0,0.0,0.0
1951,1951239N12334,DOG,,NA,multi,MTQ,55.4,107.6,227973.0,0.0,227973.0,0.0,141157.0,0.0
1951,1951239N12334,DOG,,NA,multi,VCT,32.9,63.9,63167.0,96219674.0,0.0,0.0,0.0,0.0
1951,1951246N13340,FOX,,NA,single,CPV,19.7,38.4,14238.0,17541551.0,0.0,0.0,0.0,0.0
1951,1951246N14120,UNNAMED,,WP,multi,CHN,23.5,45.8,790175.0,807853478.0,0.0,0.0,0.0,0.0
1951,1951246N14120,UNNAMED,,WP,multi,LAO,18.0,35.1,82.0,625588.0,0.0,0.0,0.0,0.0
1951,1951246N14120,UNNAMED,,WP,multi,VNM,26.0,50.6,614805.0,457932015.0,0.0,0.0,0.0,0.0
1951,1951255N17254,UNNAMED,,EP,single,MEX,28.8,56.0,317107.0,1919030161.0,0.0,0.0,0.0,0.0
1951,1951263N08137,UNNAMED,,WP,multi,PHL,24.9,48.4,30905.0,94200848.0,0.0,0.0,0.0,0.0
1951,1951263N08137,UNNAMED,,WP,multi,TWN,51.0,99.1,7221246.0,59639084779.0,3598782.0,26342094638.0,0.0,0.0
1951,1951263N19267,GEORGE,,NA,single,MEX,29.4,57.2,1037685.0,4128016555.0,0.0,0.0,0.0,0.0
1951,1951272N20274,HOW,,NA,multi,BHS,23.3,45.3,11147.0,74918117.0,0.0,0.0,0.0,0.0
1951,1951272N20274,HOW,,NA,multi,ISL,46.6,90.5,40822.0,2461917125.0,14393.0,573575539.0,0.0,0.0
1951,1951272N20274,HOW,,NA,multi,USA,37.0,72.0,1373019.0,1.02868810185e+11,115804.0,9260421362.0,0.0,0.0
1951,1951281N11147,RUTH,,WP,single,JPN,59.4,115.5,62811839.0,5.97189174966e+11,22216580.0,2.15462295489e+11,1704398.0,15886720115.0
1951,1951285N16280,ITEM,,NA,multi,CUB,30.4,59.2,222886.0,1394880119.0,0.0,0.0,0.0,0.0
1951,1951321N09143,WANDA,,WP,multi,KHM,39.7,77.1,314010.0,872972628.0,7779.0,47446893.0,0.0,0.0
1951,1951321N09143,WANDA,,WP,multi,LAO,17.8,34.6,145.0,1090047.0,0.0,0.0,0.0,0.0
1951,1951321N09143,WANDA,,WP,multi,PHL,60.3,117.2,5737793.0,18234808196.0,1642735.0,5398244856.0,381290.0,1418424560.0
1951,1951321N09143,WANDA,,WP,multi,VNM,59.3,115.4,3195040.0,4569808218.0,1426912.0,1907151793.0,409159.0,494530261.0
1951,1951332N14256,UNNAMED,,EP,single,MEX,22.1,42.9,64379.0,305420663.0,0.0,0.0,0.0,0.0
1951,1951337N09150,UNNAMED,,WP,multi,PHL,61.3,119.2,4174057.0,12123665202.0,2580787.0,7282154557.0,1112746.0,3101284789.0
1952,1952019S11139,UNNAMED,,SP,single,AUS,25.0,48.5,8600.0,265983964.0,0.0,0.0,0.0,0.0
1952,1952024S11159,UNNAMED,,SP,single,SLB,28.4,55.2,8385.0,18538335.0,0.0,0.0,0.0,0.0
1952,1952033N19273,UNNAMED,,NA,multi,BHS,34.8,67.7,13346.0,112307484.0,154.0,2707370.0,0.0,0.0
1952,1952033N19273,UNNAMED,,NA,multi,CAN,39.8,77.4,269364.0,9334340736.0,77985.0,2381719202.0,0.0,0.0
1952,1952033N19273,UNNAMED,,NA,multi,CUB,39.9,77.6,2396329.0,9128214561.0,1598654.0,4778392327.0,0.0,0.0
1952,1952033N19273,UNNAMED,,NA,multi,USA,49.7,96.7,1289571.0,88166942487.0,765579.0,50787620036.0,0.0,0.0
